"","process_1","process_2","shared_genes","genes"
"1","GENERAL","INNATE IMMUNE SYSTEM",295,"HLA-E,TAC1,DEFA4,B2M,DEFB1,CAMP,DEFA1,H2BC10,DEFA3,BPI,RNASE3,WFDC13,CTSG,DEFA6,WFDC11,H2BC12L,RPL39,WFDC3,PI3,FAU,DEFA5,WFDC9,WFDC10B,FCGR3A,FCGR1A,CCL20,CXCL1,DEFB131A,CXCL2,HAMP,S100A12,CXCL8,CXCL9,RPS19,REG3G,LGALS3,PF4V1,CCL1,CXCL6,CXCL3,CXCL5,XCL1,CCL8,F2,CCL18,PRTN3,SLC11A1,AZU1,ITGA1,PECAM1,LTBR,IL6R,IFNA8,CCR2,NOTCH2,GATA3,IFNE,ALOX5,CCL2,TFEB,GPR183,RBPJ,NOTCH1,HLA-C,VAV1,HLA-DOB,CD1C,ITGB8,HLA-DPA1,CCR7,CD1E,C7,CX3CR1,KIR3DL1,HLA-DMA,CCR1,IL10,CCL4L1,C1R,CD1D,LY86,IL18RAP,CCL24,SERPINB9,CEBPG,CR2,CIITA,CCL4,IFITM2,IL1RN,IL15,CCL23,IL10RB,HLA-DMB,WAS,CTSS,IL13,FASLG,CXCR1,ZAP70,PIK3CG,HLA-DRB3,MAP4K2,CCL7,IFI6,TYK2,CCL3L1,TRIM22,CCL5,CXCR4,TLR4,C6,FCAR,FCGR2B,RAET1L,CCL3,IRF8,GBP6,CXCR2,GBP2,HLA-F,RAET1G,C5AR1,CTSH,IFITM3,CD1B,CX3CL1,ITGB6,CEBPB,HLA-G,HLA-DRB4,IL2,CFP,C1QBP,BAG6,STMP1,GZMM,EIF2AK2,LILRA5,LGALS9,P0DOX3,CD55,FGR,CLEC6A,RNF135,HK1,JAGN1,TMEM33,IFIT2,CD40,TRIM23,SPIRE1,ENDOD1,PRKDC,CFD,PRKCE,CASP4,C1S,SLC15A4,CFB,XRCC6,XRCC5,GBP1,CFH,ADAR,TAP1,F2RL1,ACOD1,SFTPD,RIGI,SARM1,TRIM26,MBL2,PSMB8,KLRC2,LCN2,NMB,NLRC5,BPIFC,TAP2,TRIM65,HMGB1,ITGAM,TREML4,CSF1,USP14,APOBEC3H,TAX1BP1,CD160,CLU,PELI3,HEXIM1,TNFAIP8L2,CD14,SFPQ,HMGB2,APOBEC3F,BTK,KLRC1,CD177,CR1,KLRK1,RNF19B,NLRP2B,MST1R,MASP2,C4A,MAVS,CLEC10A,TIRAP,LBP,SIRT2,DAB2IP,MIF,PARP9,STING1,PLPP6,IL34,IRGM,ADARB1,SSC5D,NLRP10,IL27,DHX9,SYK,CD46,MASP1,SUSD4,ARID5A,IL31RA,NLRP9,MMP3,C4B,IRF1,MATR3,JAML,IL23R,IFI30,PML,ITK,LACC1,NLRX1,OAS2,IFIT1,SLC15A3,ZNF683,TICAM2,OTUD4,IFITM1,MX2,APOBEC3A,ARG2,JAK3,ZC3HAV1,TARM1,PARP1,HCK,MCOLN2,GBP7,USP27X,NLRP6,METTL3,GP2,SERINC5,BST2,MX1,FCER1G,SRC,C4BPB,TTC4,CGAS,TBKBP1,DDX60,BCL10,GSDMD,LILRA4,ERAP2,TICAM1,AXL,LAG3,CD6,LILRA2,IFI27,IFI35,PRDX1,PRDX2,SCNN1B,PPIA,CORO1A,BAX,PDE4B,ELANE,IFNL2,IFNLR1,NF1"
"2","INNATE IMMUNE SYSTEM","GENERAL",295,"STING1,MAVS,NLRP10,XRCC5,CGAS,TLR4,XRCC6,SFPQ,MATR3,HEXIM1,GBP2,PRKDC,HMGB1,NLRP6,ELANE,IL31RA,CD6,CXCR2,TFEB,CX3CR1,CLEC6A,BCL10,HLA-DRB4,HLA-DRB3,HLA-DMA,HLA-DOB,CTSH,CTSS,HLA-DMB,HLA-DPA1,HLA-E,PSMB8,HLA-C,TAP2,TAP1,ERAP2,B2M,RAET1L,RAET1G,HLA-G,HLA-F,FCGR1A,FCER1G,IFI30,FCGR2B,SLC11A1,CD1D,CD1B,CD1E,CD1C,GP2,RNF135,TRIM65,NMB,RIGI,IFIT1,EIF2AK2,MBL2,IFIT2,MX1,LBP,CD14,WAS,CCL5,CCL4,CCL8,GBP6,CCL1,CCL3,GBP1,CCL4L1,CCL3L1,CCL18,CCL2,FCAR,CX3CL1,XCL1,IRF8,CCL20,LGALS9,CCL24,FASLG,CCL7,CCL23,GBP7,ACOD1,IL10,CCR2,CCR1,CXCR4,CXCR1,CCR7,GPR183,PIK3CG,ALOX5,LGALS3,BTK,CEBPB,CLU,NOTCH1,HMGB2,IL1RN,NOTCH2,RBPJ,PML,APOBEC3F,MST1R,OAS2,BPI,CAMP,ADARB1,BST2,IRGM,SSC5D,GSDMD,STMP1,TRIM26,TARM1,TAC1,METTL3,MIF,CFD,NLRP2B,IFI35,IFI6,TAX1BP1,SFTPD,LILRA5,TTC4,LILRA4,IFNL2,CSF1,PARP1,CD46,SERINC5,DEFB131A,SARM1,LY86,TRIM23,JAK3,KLRC2,CD160,KLRK1,FGR,MAP4K2,C1S,PELI3,APOBEC3A,TMEM33,ADAR,DEFB1,APOBEC3H,IFITM3,GZMM,NLRC5,RNASE3,TNFAIP8L2,C4B,TRIM22,F2RL1,CLEC10A,ARG2,KLRC1,PARP9,CD177,CR1,TICAM1,MASP2,S100A12,CFH,SYK,GATA3,C1QBP,HK1,BPIFC,CFP,HCK,DEFA5,CASP4,SLC15A4,WFDC3,LILRA2,WFDC10B,WFDC13,CD55,MMP3,IFI27,IRF1,USP27X,LACC1,NLRX1,PLPP6,SPIRE1,NLRP9,ZC3HAV1,MX2,TBKBP1,PI3,ZNF683,IL27,TICAM2,C4A,OTUD4,DHX9,C1R,CORO1A,DEFA4,SIRT2,ITGAM,LCN2,SRC,C7,DEFA6,USP14,IL34,SLC15A3,IFITM2,TIRAP,ENDOD1,SUSD4,ZAP70,DDX60,MCOLN2,C6,IFITM1,C4BPB,TREML4,ARID5A,WFDC9,CFB,MASP1,CR2,AXL,WFDC11,DAB2IP,IL23R,FAU,H2BC12L,DEFA3,H2BC10,DEFA1,RPL39,ITGB8,ITGB6,IL13,HAMP,FCGR3A,PRKCE,AZU1,NF1,SERPINB9,C5AR1,P0DOX3,IL6R,CTSG,RPS19,JAML,PECAM1,REG3G,BAX,LTBR,PRDX1,BAG6,IL2,IFNA8,IFNE,IL15,LAG3,CEBPG,RNF19B,KIR3DL1,CXCL8,IL18RAP,CXCL6,SCNN1B,CXCL9,ITGA1,PDE4B,VAV1,CXCL3,CXCL5,PF4V1,PPIA,CXCL1,CXCL2,PRTN3,JAGN1,F2,ITK,PRDX2,CD40,CIITA,IFNLR1,TYK2,IL10RB"
"3","ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM",266,"ABL1,STAT5B,IL2,FAS,RPS6,AKT1,TAP2,MYO1G,BTN3A2,HLA-E,RAG1,JAK3,EOMES,THEMIS,CD1C,LAG3,HLA-DRB3,SYK,CSK,CD247,ITK,CX3CR1,BCL10,VTCN1,KLRC1,TEC,ZNF683,CD3G,CD8B,CD7,ZAP70,CD160,CTSH,BTK,GPR183,BTNL8,CD6,IFNA8,CTLA4,LILRB1,CD46,TXK,HMGB1,CD86,CD81,CRTAM,SKAP1,PIK3CG,KLRK1,IFNE,RPL22,BRAF,GLI3,ADA,RHOA,CLEC4G,PTPRC,PHB1,CHRNA7,RASGRP1,HSPD1,PLCG2,PIK3R1,RAG2,IL2RG,PTPRJ,PTPN2,CR2,BCL6,KIT,SP3,CD40LG,IL10,BCL2,FOSL2,ADAM17,SPNS2,BAX,IL7R,RC3H1,NCKAP1L,CASP3,PRKDC,CD70,TLR4,IL7,CTPS1,BCAR1,MAPK1,PTPN6,ASXL1,LIPA,CDH26,CD83,TOX,PRKCQ,CD28,FUT7,WDFY4,PSMB11,IRF1,TNFSF8,RAB27A,LIG4,CCR7,MYH9,IL15,FCER1G,SRC,VAV1,CXADR,JAML,TCF7,BCL3,CRKL,CRK,CCL2,WNT4,IL4R,DOCK8,MSN,PRF1,EPHB1,STAT6,CCL3,GPR15LG,CX3CL1,CCL20,RELB,GATA3,HPRT1,LFNG,TNFSF4,ITGAL,SPN,LGALS1,SRF,ITPKB,PBX1,CACNB4,KMT2A,WAS,CORO1A,RBX1,NCK1,SMAD3,PPP3CA,NLRC3,PPP3CB,FKBP1A,MFAP3,DPP4,TNFAIP8L2,CD276,CD44,CD80,DCAF12,DDOST,MDK,F2RL1,LCP1,PSEN1,APBB1IP,CXCL12,DEFA4,SLC12A2,DEFA1,CAV1,PTPN11,MAP3K8,CD24,PIK3CA,EFNB1,EFNB2,MTOR,KDELR1,DTX1,CTNNB1,SOX4,LMBR1L,LEPR,GPR89A,LEP,EGR1,PKNOX1,NRARP,GPR89B,NKAP,ZFP36L2,NCAPH2,ZFP36L1,CDK6,B2M,JMJD6,TESPA1,XG,CD99,PPP2CA,CHST3,ZC3H8,PPP2R1A,IL20RB,CCNB2,PRDX2,GZMM,EMP2,CTSC,JAG1,GNL1,CR1,GPR15,S1PR1,ITGB7,PSMB10,IL12B,FKBP1B,KITLG,TNFRSF4,IDO1,CD151,SCGB1A1,CCND3,SLC11A1,THEMIS2,KHDRBS1,CACNB3,PDE4B,PDE4D,UBE2N,NFKBID,DENND1B,FYB2,BTNL10P,PLCG1,EIF2B2,BTNL9,BTNL3,BTN2A1,CD1D,CEBPB,IL18BP,CCR2,RORC,RORA,IL6R,STAT3,IL6ST,JAK1,NOTCH1,MYB,MEN1,PTGER4,ATP7A,ZFPM1,MAP2K1,HAND2,MAP2K2,FOXI3,SOD1,TGFBR1,MAPK3,EPHB3,LMO4,TYR,FCER1A,IL33"
"4","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM",266,"ABL1,STAT5B,IL2,FAS,RPS6,AKT1,CD247,CD3G,RPL22,BRAF,GLI3,ADA,ZAP70,RHOA,CLEC4G,PTPRC,SYK,CDH26,CD81,CD83,TOX,PRKCQ,CD28,FUT7,IL2RG,HLA-E,WDFY4,PSMB11,IRF1,TNFSF8,EOMES,BCL2,KLRC1,RAB27A,LIG4,RAG2,CCR7,CRTAM,MYH9,IL15,ITK,CXADR,JAML,TCF7,CRKL,CRK,CCL2,CD6,DOCK8,MSN,PRF1,EPHB1,TNFSF4,ITGAL,CX3CL1,CX3CR1,IL33,NCKAP1L,SOD1,BAX,ITPKB,THEMIS,SPN,FOSL2,SRF,CD86,WAS,CHRNA7,CORO1A,HSPD1,RBX1,NCK1,SMAD3,PPP3CA,LAG3,NLRC3,PPP3CB,FKBP1A,MFAP3,PIK3CG,DPP4,TNFAIP8L2,CD7,CD276,VAV1,CD44,RASGRP1,CD80,DCAF12,CD8B,DDOST,IFNE,MDK,F2RL1,LCP1,PSEN1,IFNA8,CD1C,APBB1IP,CXCL12,CCL3,DEFA4,GPR183,SLC12A2,DEFA1,PTPN6,CAV1,SRC,PTPN11,LGALS1,MAP3K8,KLRK1,CD160,CD24,PIK3CA,EFNB1,EFNB2,CSK,MTOR,CD40LG,KDELR1,DTX1,GATA3,KIT,CTNNB1,SOX4,PTPN2,LIPA,LMBR1L,LFNG,LEPR,GPR89A,LEP,EGR1,PKNOX1,IL7R,PIK3R1,NRARP,SP3,GPR89B,NKAP,RAG1,ZFP36L2,NCAPH2,ZFP36L1,ADAM17,PRKDC,WNT4,CDK6,B2M,JMJD6,TESPA1,FCER1G,XG,CD99,PPP2CA,CHST3,SPNS2,JAK3,ZC3H8,PPP2R1A,RC3H1,IL20RB,GPR15LG,CASP3,CCNB2,PRDX2,IL7,MYO1G,GZMM,CTSH,TAP2,EMP2,CTSC,HPRT1,CD46,JAG1,CR2,BTN3A2,CD70,GNL1,CR1,GPR15,S1PR1,CCL20,ITGB7,PSMB10,IL12B,FKBP1B,KITLG,CTPS1,TNFRSF4,IDO1,CD151,SCGB1A1,CCND3,LILRB1,SLC11A1,SKAP1,THEMIS2,KHDRBS1,CACNB3,BTK,PDE4B,PDE4D,UBE2N,NFKBID,PLCG2,DENND1B,MAPK1,TXK,VTCN1,FYB2,CTLA4,BTNL8,BCL10,BTNL10P,TEC,ZNF683,PLCG1,EIF2B2,BCAR1,BTNL9,BTNL3,BTN2A1,HLA-DRB3,PTPRJ,CD1D,HMGB1,CEBPB,RELB,IL4R,STAT6,TLR4,IL18BP,BCL3,CCR2,RORC,RORA,IL6R,STAT3,IL6ST,JAK1,NOTCH1,PHB1,BCL6,MYB,MEN1,KMT2A,PTGER4,ATP7A,ZFPM1,ASXL1,MAP2K1,HAND2,MAP2K2,FOXI3,CACNB4,TGFBR1,MAPK3,EPHB3,LMO4,PBX1,TYR,FCER1A,IL10"
"5","ADAPTIVE IMMUNE SYSTEM","T CELL",228,"ABL1,STAT5B,IL2,FAS,RPS6,AKT1,TAP2,MYO1G,BTN3A2,HLA-E,RAG1,JAK3,EOMES,THEMIS,CD1C,LAG3,HLA-DRB3,SYK,CSK,CD247,ITK,BCL10,VTCN1,KLRC1,TEC,ZNF683,CD3G,CD8B,CD7,ZAP70,CD160,CTSH,BTK,GPR183,BTNL8,CD6,IFNA8,CTLA4,LILRB1,CD46,TXK,CD86,CD81,CRTAM,SKAP1,PIK3CG,KLRK1,IFNE,RPL22,BRAF,GLI3,ADA,RHOA,CLEC4G,PTPRC,CHRNA7,RASGRP1,HSPD1,PLCG2,PIK3R1,RAG2,IL2RG,PTPRJ,PTPN2,CR2,BCL6,KIT,SP3,CD40LG,IL10,BCL2,FOSL2,ADAM17,SPNS2,BAX,IL7R,RC3H1,NCKAP1L,CASP3,PRKDC,CD70,IL7,CTPS1,BCAR1,MAPK1,PTPN6,LIPA,CDH26,CD83,TOX,PRKCQ,CD28,FUT7,WDFY4,PSMB11,IRF1,TNFSF8,RAB27A,LIG4,CCR7,MYH9,IL15,FCER1G,SRC,VAV1,CXADR,JAML,TCF7,CRKL,CRK,CCL2,WNT4,DOCK8,MSN,PRF1,EPHB1,CCL3,GPR15LG,CCL20,GATA3,HPRT1,LFNG,TNFSF4,ITGAL,SPN,LGALS1,SRF,ITPKB,WAS,CORO1A,RBX1,NCK1,SMAD3,PPP3CA,NLRC3,PPP3CB,FKBP1A,MFAP3,DPP4,TNFAIP8L2,CD276,CD44,CD80,DCAF12,DDOST,MDK,F2RL1,LCP1,PSEN1,APBB1IP,CXCL12,DEFA4,SLC12A2,DEFA1,CAV1,PTPN11,MAP3K8,CD24,PIK3CA,EFNB1,EFNB2,MTOR,KDELR1,DTX1,CTNNB1,SOX4,LMBR1L,LEPR,GPR89A,LEP,EGR1,PKNOX1,NRARP,GPR89B,NKAP,ZFP36L2,NCAPH2,ZFP36L1,CDK6,B2M,JMJD6,TESPA1,XG,CD99,PPP2CA,CHST3,ZC3H8,PPP2R1A,IL20RB,CCNB2,PRDX2,GZMM,EMP2,CTSC,JAG1,GNL1,CR1,GPR15,S1PR1,ITGB7,PSMB10,IL12B,FKBP1B,KITLG,TNFRSF4,IDO1,CD151,SCGB1A1,CCND3,SLC11A1,THEMIS2,KHDRBS1,CACNB3,PDE4B,PDE4D,UBE2N,NFKBID,DENND1B,FYB2,BTNL10P,PLCG1,EIF2B2,BTNL9,BTNL3,BTN2A1,CD1D,FCER1A,IL33"
"6","CELLULAR ADAPTIVE IMMUNE SYSTEM","T CELL",228,"ABL1,STAT5B,IL2,FAS,RPS6,AKT1,CD247,CD3G,RPL22,BRAF,GLI3,ADA,ZAP70,RHOA,CLEC4G,PTPRC,SYK,CDH26,CD81,CD83,TOX,PRKCQ,CD28,FUT7,IL2RG,HLA-E,WDFY4,PSMB11,IRF1,TNFSF8,EOMES,BCL2,KLRC1,RAB27A,LIG4,RAG2,CCR7,CRTAM,MYH9,IL15,ITK,CXADR,JAML,TCF7,CRKL,CRK,CCL2,CD6,DOCK8,MSN,PRF1,EPHB1,TNFSF4,ITGAL,IL33,NCKAP1L,BAX,ITPKB,THEMIS,SPN,FOSL2,SRF,CD86,WAS,CHRNA7,CORO1A,HSPD1,RBX1,NCK1,SMAD3,PPP3CA,LAG3,NLRC3,PPP3CB,FKBP1A,MFAP3,PIK3CG,DPP4,TNFAIP8L2,CD7,CD276,VAV1,CD44,RASGRP1,CD80,DCAF12,CD8B,DDOST,IFNE,MDK,F2RL1,LCP1,PSEN1,IFNA8,CD1C,APBB1IP,CXCL12,CCL3,DEFA4,GPR183,SLC12A2,DEFA1,PTPN6,CAV1,SRC,PTPN11,LGALS1,MAP3K8,KLRK1,CD160,CD24,PIK3CA,EFNB1,EFNB2,CSK,MTOR,CD40LG,KDELR1,DTX1,GATA3,KIT,CTNNB1,SOX4,PTPN2,LIPA,LMBR1L,LFNG,LEPR,GPR89A,LEP,EGR1,PKNOX1,IL7R,PIK3R1,NRARP,SP3,GPR89B,NKAP,RAG1,ZFP36L2,NCAPH2,ZFP36L1,ADAM17,PRKDC,WNT4,CDK6,B2M,JMJD6,TESPA1,FCER1G,XG,CD99,PPP2CA,CHST3,SPNS2,JAK3,ZC3H8,PPP2R1A,RC3H1,IL20RB,GPR15LG,CASP3,CCNB2,PRDX2,IL7,MYO1G,GZMM,CTSH,TAP2,EMP2,CTSC,HPRT1,CD46,JAG1,CR2,BTN3A2,CD70,GNL1,CR1,GPR15,S1PR1,CCL20,ITGB7,PSMB10,IL12B,FKBP1B,KITLG,CTPS1,TNFRSF4,IDO1,CD151,SCGB1A1,CCND3,LILRB1,SLC11A1,SKAP1,THEMIS2,KHDRBS1,CACNB3,BTK,PDE4B,PDE4D,UBE2N,NFKBID,PLCG2,DENND1B,MAPK1,TXK,VTCN1,FYB2,CTLA4,BTNL8,BCL10,BTNL10P,TEC,ZNF683,PLCG1,EIF2B2,BCAR1,BTNL9,BTNL3,BTN2A1,HLA-DRB3,PTPRJ,CD1D,BCL6,FCER1A,IL10"
"7","T CELL","ADAPTIVE IMMUNE SYSTEM",228,"ABL1,STAT5B,IL2,FAS,RPS6,AKT1,CD247,CD3G,RPL22,BRAF,GLI3,ADA,ZAP70,RHOA,CLEC4G,PTPRC,SYK,CDH26,CD81,CD83,TOX,PRKCQ,CD28,FUT7,IL2RG,HLA-E,WDFY4,PSMB11,IRF1,TNFSF8,EOMES,BCL2,KLRC1,RAB27A,LIG4,RAG2,CCR7,CRTAM,MYH9,IL15,ITK,CXADR,JAML,TCF7,CRKL,CRK,CCL2,CD6,DOCK8,MSN,PRF1,EPHB1,TNFSF4,ITGAL,THEMIS,SPN,SRF,ITPKB,CD86,WAS,CHRNA7,CORO1A,HSPD1,RBX1,NCK1,SMAD3,PPP3CA,LAG3,NLRC3,PPP3CB,FKBP1A,MFAP3,PIK3CG,DPP4,TNFAIP8L2,CD7,CD276,VAV1,CD44,RASGRP1,CD80,DCAF12,CD8B,DDOST,IFNE,MDK,F2RL1,LCP1,PSEN1,IFNA8,CD1C,APBB1IP,CXCL12,CCL3,DEFA4,GPR183,SLC12A2,DEFA1,PTPN6,CAV1,SRC,PTPN11,LGALS1,MAP3K8,KLRK1,CD160,CD24,PIK3CA,EFNB1,EFNB2,CSK,MTOR,CD40LG,KDELR1,DTX1,GATA3,KIT,CTNNB1,FOSL2,SOX4,PTPN2,LIPA,LMBR1L,LFNG,LEPR,GPR89A,LEP,EGR1,PKNOX1,IL7R,PIK3R1,NRARP,SP3,GPR89B,NKAP,RAG1,ZFP36L2,NCAPH2,ZFP36L1,ADAM17,PRKDC,WNT4,CDK6,B2M,JMJD6,TESPA1,FCER1G,XG,CD99,PPP2CA,CHST3,SPNS2,JAK3,ZC3H8,NCKAP1L,PPP2R1A,RC3H1,IL20RB,GPR15LG,CASP3,CCNB2,PRDX2,BAX,IL7,MYO1G,GZMM,CTSH,TAP2,EMP2,CTSC,HPRT1,CD46,JAG1,CR2,BTN3A2,CD70,GNL1,CR1,GPR15,S1PR1,CCL20,ITGB7,PSMB10,IL12B,FKBP1B,KITLG,CTPS1,TNFRSF4,IDO1,CD151,SCGB1A1,CCND3,LILRB1,SLC11A1,SKAP1,THEMIS2,KHDRBS1,CACNB3,BTK,PDE4B,PDE4D,UBE2N,NFKBID,PLCG2,DENND1B,MAPK1,TXK,VTCN1,FYB2,CTLA4,BTNL8,BCL10,BTNL10P,TEC,ZNF683,PLCG1,EIF2B2,BCAR1,BTNL9,BTNL3,BTN2A1,HLA-DRB3,PTPRJ,CD1D,BCL6,FCER1A,IL10,IL33"
"8","T CELL","CELLULAR ADAPTIVE IMMUNE SYSTEM",228,"ABL1,STAT5B,IL2,FAS,RPS6,AKT1,CD247,CD3G,RPL22,BRAF,GLI3,ADA,ZAP70,RHOA,CLEC4G,PTPRC,SYK,CDH26,CD81,CD83,TOX,PRKCQ,CD28,FUT7,IL2RG,HLA-E,WDFY4,PSMB11,IRF1,TNFSF8,EOMES,BCL2,KLRC1,RAB27A,LIG4,RAG2,CCR7,CRTAM,MYH9,IL15,ITK,CXADR,JAML,TCF7,CRKL,CRK,CCL2,CD6,DOCK8,MSN,PRF1,EPHB1,TNFSF4,ITGAL,THEMIS,SPN,SRF,ITPKB,CD86,WAS,CHRNA7,CORO1A,HSPD1,RBX1,NCK1,SMAD3,PPP3CA,LAG3,NLRC3,PPP3CB,FKBP1A,MFAP3,PIK3CG,DPP4,TNFAIP8L2,CD7,CD276,VAV1,CD44,RASGRP1,CD80,DCAF12,CD8B,DDOST,IFNE,MDK,F2RL1,LCP1,PSEN1,IFNA8,CD1C,APBB1IP,CXCL12,CCL3,DEFA4,GPR183,SLC12A2,DEFA1,PTPN6,CAV1,SRC,PTPN11,LGALS1,MAP3K8,KLRK1,CD160,CD24,PIK3CA,EFNB1,EFNB2,CSK,MTOR,CD40LG,KDELR1,DTX1,GATA3,KIT,CTNNB1,FOSL2,SOX4,PTPN2,LIPA,LMBR1L,LFNG,LEPR,GPR89A,LEP,EGR1,PKNOX1,IL7R,PIK3R1,NRARP,SP3,GPR89B,NKAP,RAG1,ZFP36L2,NCAPH2,ZFP36L1,ADAM17,PRKDC,WNT4,CDK6,B2M,JMJD6,TESPA1,FCER1G,XG,CD99,PPP2CA,CHST3,SPNS2,JAK3,ZC3H8,NCKAP1L,PPP2R1A,RC3H1,IL20RB,GPR15LG,CASP3,CCNB2,PRDX2,BAX,IL7,MYO1G,GZMM,CTSH,TAP2,EMP2,CTSC,HPRT1,CD46,JAG1,CR2,BTN3A2,CD70,GNL1,CR1,GPR15,S1PR1,CCL20,ITGB7,PSMB10,IL12B,FKBP1B,KITLG,CTPS1,TNFRSF4,IDO1,CD151,SCGB1A1,CCND3,LILRB1,SLC11A1,SKAP1,THEMIS2,KHDRBS1,CACNB3,BTK,PDE4B,PDE4D,UBE2N,NFKBID,PLCG2,DENND1B,MAPK1,TXK,VTCN1,FYB2,CTLA4,BTNL8,BCL10,BTNL10P,TEC,ZNF683,PLCG1,EIF2B2,BCAR1,BTNL9,BTNL3,BTN2A1,HLA-DRB3,PTPRJ,CD1D,BCL6,FCER1A,IL10,IL33"
"9","ADAPTIVE IMMUNE SYSTEM","GENERAL",208,"IL2,FAS,TAP2,HLA-DOB,FBXO38,P0DOX7,MYO1G,BTN3A2,HLA-E,CD19,OTUD7B,HLA-C,CLEC6A,CD1B,LILRB2,RAG1,JAK3,EOMES,THEMIS,HLA-DMB,CD1C,NLRP10,P0DOX6,LAG3,HLA-DRB3,P0DOX8,SYK,CTSS,CSK,CD247,ITK,CX3CR1,LILRA6,BCL10,BTLA,LILRB4,VTCN1,KLRC1,TEC,KLRC2,ZNF683,TAP1,C17orf99,CD3G,CD8B,LAIR1,CD7,ARG2,ZAP70,CD160,CTSH,ERAP2,BTK,MCOLN2,LILRA3,GPR183,RNF19B,CD1E,P0DOX5,BTNL8,CD6,HLA-DRB4,IFNA8,CTLA4,LILRB1,CD46,TXK,P0DOX2,HMGB1,LAX1,CD79B,CD8B2,CLEC10A,CD86,TFEB,C1QBP,HLA-DPA1,TARM1,P0DOX4,HMHB1,CD81,HLA-DMA,CRTAM,SKAP1,PIK3CG,KLRK1,P0DOX3,FGL1,TFE3,IFNE,CD79A,TNFRSF17,CLEC4G,TICAM1,CXCR5,CD40,MS4A1,BST2,PIK3R1,IL2RG,CEBPG,CR2,BCL6,ITGA4,CD40LG,IL10,BCL2,RBPJ,FLT3,VCAM1,IL9,SPNS2,BAX,MEF2C,IL7R,RC3H1,SOS1,PRKDC,CD70,TLR4,IL7,CTPS1,BCAR1,ASXL1,CD83,PRKCQ,CD28,FUT7,IRF1,TNFSF8,CCR7,MYH9,IL15,FCER1G,SRC,VAV1,PRKCE,HCK,FGR,FCGR2B,IRF8,JAML,TCF7,BCL3,CCL2,IL4R,MSN,PRF1,AXL,CCL3,CCL18,CCL4,CCL7,XCL1,ADAM8,CX3CL1,CCL4L1,CCL1,CCL3L1,CCL8,CCL24,CCL5,CCL20,CCL23,GATA3,NOTCH2,TNFSF4,SPN,LBP,C4B,MBL2,HLA-G,ADAR,NKX2-3,WAS,CORO1A,SMAD3,TNFAIP8L2,CD80,MDK,F2RL1,CXCL12,DEFA4,DEFA1,MAP3K8,LEP,B2M,PRDX2,GZMM,CTSC,CR1,S1PR1,ITGB7,PSMB10,TNFRSF4,IDO1,SLC11A1,THEMIS2,PDE4B,CD1D,CEBPB,CCR2,RORC,IL6R,NOTCH1,PTGER4,ACOD1,HMGB2"
