"","process_1","process_2","shared_genes","genes"
"179","HUMORAL ADAPTIVE IMMUNE SYSTEM","MONOCYTE",13,"CTSG,CCL20,S100A12,RPS19,LGALS3,CCL1,XCL1,CCL8,CCL18,AZU1,CCR2,CCL2,MPL"
"180","MACROPHAGE","CELLULAR ADAPTIVE IMMUNE SYSTEM",13,"IL13,HAMP,JMJD6,SLC11A1,TLR4,IL33,SYK,PLCG2,CCL2,AZU1,CCL3,LIPA,CCR2"
"181","MACROPHAGE","HUMORAL ADAPTIVE IMMUNE SYSTEM",13,"HAMP,SLC11A1,TLR4,TICAM1,PRKCE,SYK,LBP,PLCG2,CCL2,LGALS3,AZU1,LIPA,CCR2"
"182","MACROPHAGE","NEUTROPHIL",13,"EDN2,SYK,LBP,CCL2,LGALS3,AZU1,CCL5,SAA1,CCL3,CSF1,MCOLN2,BCR,CCR2"
"183","MONOCYTE","HUMORAL ADAPTIVE IMMUNE SYSTEM",13,"AZU1,CCL18,CCL1,LGALS3,CTSG,XCL1,CCL2,CCR2,CCL20,RPS19,CCL8,S100A12,MPL"
"184","NEUTROPHIL","MACROPHAGE",13,"CCL5,SYK,SAA1,LBP,CCL3,LGALS3,EDN2,CCL2,CCR2,BCR,CSF1,MCOLN2,AZU1"
"185","ADAPTIVE IMMUNE SYSTEM","INFLAMMATION",12,"CD6,HMGB1,RASGRP1,IL10,RBPJ,FOSL2,LIPA,NOTCH2,IL20RB,PRDX2,NOTCH1,HMGB2"
"186","ANTIMICROBIAL","ARPP",12,"CCL20,HAMP,S100A12,RPS19,REG3G,LGALS3,CCL1,XCL1,CCL8,CCL18,SLC11A1,AZU1"
"187","ARPP","ANTIMICROBIAL",12,"HAMP,SLC11A1,LGALS3,AZU1,CCL18,CCL1,XCL1,CCL20,RPS19,CCL8,S100A12,REG3G"
"188","HUMORAL ADAPTIVE IMMUNE SYSTEM","NK CELL",12,"HLA-E,XCL1,RASGRP1,PTPRC,IFNA8,STAT5B,CEBPG,SP3,IFNE,PTPN6,GATA3,PBX1"
"189","HUMORAL ADAPTIVE IMMUNE SYSTEM","T HELPER CELLS",12,"BCL3,PHB1,GPR183,BCL6,RC3H1,TLR4,CCR2,GATA3,NOTCH1,IL4R,STAT6,KMT2A"
"190","INFLAMMATION","ADAPTIVE IMMUNE SYSTEM",12,"CD6,IL10,NOTCH1,IL20RB,HMGB2,FOSL2,HMGB1,NOTCH2,RBPJ,RASGRP1,PRDX2,LIPA"
"191","INNATE IMMUNE SYSTEM","T HELPER CELLS",12,"TLR4,HMGB1,RELB,PHB1,IL12B,CCR2,GPR183,CEBPB,NOTCH1,GATA3,IL6R,JAK1"
"192","NK CELL","HUMORAL ADAPTIVE IMMUNE SYSTEM",12,"XCL1,GATA3,RASGRP1,IFNA8,IFNE,SP3,PBX1,PTPRC,STAT5B,PTPN6,CEBPG,HLA-E"
"193","T HELPER CELLS","HUMORAL ADAPTIVE IMMUNE SYSTEM",12,"GPR183,RC3H1,IL4R,STAT6,TLR4,BCL3,CCR2,NOTCH1,PHB1,BCL6,GATA3,KMT2A"
"194","T HELPER CELLS","INNATE IMMUNE SYSTEM",12,"GPR183,HMGB1,CEBPB,RELB,TLR4,IL12B,CCR2,IL6R,JAK1,NOTCH1,PHB1,GATA3"
"195","ADAPTIVE IMMUNE SYSTEM","ANTIMICROBIAL",11,"BCL3,CCL18,XCL1,CCL1,CCL8,CCL20,CXCL12,DEFA4,DEFA1,B2M,SLC11A1"
"196","ANTIMICROBIAL","ADAPTIVE IMMUNE SYSTEM",11,"DEFA4,CXCL12,DEFA1,CCL20,CCL1,B2M,XCL1,CCL8,CCL18,BCL3,SLC11A1"
"197","ANTIVIRAL & IFN","T CELL",10,"UBE2N,NCK1,WAS,CCL3,CCL2,CCL20,IL12B,IFNE,IFNA8,IRF1"
"198","CELLULAR ADAPTIVE IMMUNE SYSTEM","DENDRITIC CELL",10,"CCR7,DOCK8,LAG3,PIK3CG,PSEN1,GPR183,HLA-DRB3,HMGB1,RELB,CCR2"
"199","DENDRITIC CELL","CELLULAR ADAPTIVE IMMUNE SYSTEM",10,"CCR2,CCR7,HMGB1,GPR183,PIK3CG,DOCK8,HLA-DRB3,PSEN1,RELB,LAG3"
"200","T CELL","ANTIVIRAL & IFN",10,"IRF1,CCL2,WAS,NCK1,IFNE,IFNA8,CCL3,CCL20,IL12B,UBE2N"
"201","ADAPTIVE IMMUNE SYSTEM","MAST CELL",9,"STAT5B,SYK,BTK,PIK3CG,RASGRP1,KIT,GPR15LG,KITLG,FCER1A"
"202","ANTIMICROBIAL","CELLULAR ADAPTIVE IMMUNE SYSTEM",9,"DEFA4,CXCL12,DEFA1,CCL20,HAMP,B2M,BCL3,SLC11A1,AZU1"
"203","ANTIMICROBIAL","MONOCYTE",9,"CCL20,S100A12,RPS19,LGALS3,CCL1,XCL1,CCL8,CCL18,AZU1"
"204","B CELL","NEUTROPHIL",9,"BTK,SYK,ADAM17,NCKAP1L,PRKCD,VAV1,MPL,FCER1G,LBP"
"205","B CELL","NK CELL",9,"RASGRP1,PTPRC,IFNA8,STAT5B,CEBPG,SP3,IFNE,PTPN6,GATA3"
"206","B CELL","T HELPER CELLS",9,"PHB1,GPR183,BCL6,RC3H1,TLR4,BCL3,IL4R,STAT6,GATA3"
"207","CELLULAR ADAPTIVE IMMUNE SYSTEM","ANTIMICROBIAL",9,"AZU1,HAMP,CXCL12,DEFA4,DEFA1,B2M,CCL20,SLC11A1,BCL3"
"208","CELLULAR ADAPTIVE IMMUNE SYSTEM","INFLAMMATION",9,"CD6,FOSL2,RASGRP1,LIPA,IL20RB,PRDX2,HMGB1,NOTCH1,IL10"
"209","CELLULAR ADAPTIVE IMMUNE SYSTEM","MAST CELL",9,"STAT5B,SYK,PIK3CG,RASGRP1,KIT,GPR15LG,KITLG,BTK,FCER1A"
"210","EOSINOPHIL","HUMORAL ADAPTIVE IMMUNE SYSTEM",9,"CCL18,LGALS3,CCL1,CCL8,CCL2,XCL1,FCER1A,BTK,MPL"
"211","HUMORAL ADAPTIVE IMMUNE SYSTEM","EOSINOPHIL",9,"LGALS3,CCL1,XCL1,CCL8,CCL18,BTK,CCL2,MPL,FCER1A"
"212","IMMUNOGLOBULIN MEDIATED RESPONSE","NEUTROPHIL",9,"BTK,SYK,ADAM17,NCKAP1L,PRKCD,VAV1,MPL,FCER1G,LBP"
"213","IMMUNOGLOBULIN MEDIATED RESPONSE","NK CELL",9,"RASGRP1,PTPRC,IFNA8,STAT5B,CEBPG,SP3,IFNE,PTPN6,GATA3"
"214","IMMUNOGLOBULIN MEDIATED RESPONSE","T HELPER CELLS",9,"PHB1,GPR183,BCL6,RC3H1,TLR4,BCL3,IL4R,STAT6,GATA3"
"215","INFLAMMATION","CELLULAR ADAPTIVE IMMUNE SYSTEM",9,"CD6,IL10,NOTCH1,IL20RB,FOSL2,HMGB1,RASGRP1,PRDX2,LIPA"
"216","MAST CELL","ADAPTIVE IMMUNE SYSTEM",9,"BTK,KITLG,KIT,PIK3CG,RASGRP1,GPR15LG,SYK,FCER1A,STAT5B"
"217","MAST CELL","CELLULAR ADAPTIVE IMMUNE SYSTEM",9,"BTK,KITLG,KIT,PIK3CG,RASGRP1,GPR15LG,SYK,FCER1A,STAT5B"
"218","MAST CELL","T CELL",9,"BTK,KITLG,KIT,PIK3CG,RASGRP1,GPR15LG,SYK,FCER1A,STAT5B"
"219","MONOCYTE","ANTIMICROBIAL",9,"AZU1,CCL18,CCL1,LGALS3,XCL1,CCL20,RPS19,CCL8,S100A12"
"220","NEUTROPHIL","B CELL",9,"PRKCD,FCER1G,SYK,LBP,NCKAP1L,VAV1,BTK,MPL,ADAM17"
"221","NEUTROPHIL","IMMUNOGLOBULIN MEDIATED RESPONSE",9,"PRKCD,FCER1G,SYK,LBP,NCKAP1L,VAV1,BTK,MPL,ADAM17"
"222","NK CELL","B CELL",9,"GATA3,RASGRP1,IFNA8,IFNE,SP3,PTPRC,STAT5B,PTPN6,CEBPG"
"223","NK CELL","IMMUNOGLOBULIN MEDIATED RESPONSE",9,"GATA3,RASGRP1,IFNA8,IFNE,SP3,PTPRC,STAT5B,PTPN6,CEBPG"
"224","T CELL","MAST CELL",9,"STAT5B,SYK,PIK3CG,RASGRP1,KIT,GPR15LG,KITLG,BTK,FCER1A"
"225","T HELPER CELLS","B CELL",9,"GPR183,RC3H1,IL4R,STAT6,TLR4,BCL3,PHB1,BCL6,GATA3"
"226","T HELPER CELLS","IMMUNOGLOBULIN MEDIATED RESPONSE",9,"GPR183,RC3H1,IL4R,STAT6,TLR4,BCL3,PHB1,BCL6,GATA3"
"227","ANTIVIRAL & IFN","B CELL",8,"PHB1,MBL2,TLR4,IRF8,IFNE,HDAC4,IFNA8,HCK"
"228","ANTIVIRAL & IFN","IMMUNOGLOBULIN MEDIATED RESPONSE",8,"PHB1,MBL2,TLR4,IRF8,IFNE,HDAC4,IFNA8,HCK"
"229","B CELL","ANTIVIRAL & IFN",8,"PHB1,HDAC4,IFNA8,IFNE,TLR4,HCK,IRF8,MBL2"
"230","CELLULAR ADAPTIVE IMMUNE SYSTEM","MONOCYTE",8,"JAML,CCL2,CX3CL1,AZU1,CCL3,CCL20,CCR2,IL6R"
"231","IMMUNOGLOBULIN MEDIATED RESPONSE","ANTIVIRAL & IFN",8,"PHB1,HDAC4,IFNA8,IFNE,TLR4,HCK,IRF8,MBL2"
"232","MACROPHAGE","T CELL",8,"JMJD6,SLC11A1,IL33,SYK,PLCG2,CCL2,CCL3,LIPA"
"233","MONOCYTE","CELLULAR ADAPTIVE IMMUNE SYSTEM",8,"AZU1,CX3CL1,IL6R,CCL3,CCL2,CCR2,CCL20,JAML"
"234","T CELL","MACROPHAGE",8,"SYK,CCL2,CCL3,LIPA,JMJD6,SLC11A1,PLCG2,IL33"
"235","T CELL","T HELPER CELLS",8,"TNFSF4,SPN,GPR183,MTOR,GATA3,RC3H1,IL12B,BCL6"
"236","T HELPER CELLS","T CELL",8,"GPR183,RC3H1,SPN,MTOR,IL12B,TNFSF4,BCL6,GATA3"
"237","ARPP","T HELPER CELLS",7,"CCR2,HMGB1,GPR183,TLR4,IL6R,RELB,PHB1"
"238","DENDRITIC CELL","HUMORAL ADAPTIVE IMMUNE SYSTEM",7,"CCR2,GPR183,ALOX5,SPI1,NOTCH2,RBPJ,IRF8"
"239","DENDRITIC CELL","T CELL",7,"CCR7,GPR183,PIK3CG,DOCK8,HLA-DRB3,PSEN1,LAG3"
"240","GENERAL","MAST CELL",7,"S100A12,SERPINB9,PIK3CG,SLC15A4,BTK,SYK,NF1"
"241","HUMORAL ADAPTIVE IMMUNE SYSTEM","DENDRITIC CELL",7,"GPR183,RBPJ,IRF8,SPI1,CCR2,NOTCH2,ALOX5"
"242","HUMORAL ADAPTIVE IMMUNE SYSTEM","INFLAMMATION",7,"RASGRP1,IL10,RBPJ,FOSL2,NOTCH2,NOTCH1,LIPA"
"243","HUMORAL ADAPTIVE IMMUNE SYSTEM","MAST CELL",7,"S100A12,RASGRP1,BTK,STAT5B,SYK,KIT,FCER1A"
"244","INFLAMMATION","HUMORAL ADAPTIVE IMMUNE SYSTEM",7,"IL10,NOTCH1,FOSL2,NOTCH2,RBPJ,RASGRP1,LIPA"
"245","INFLAMMATION","T CELL",7,"CD6,IL10,IL20RB,FOSL2,RASGRP1,PRDX2,LIPA"
"246","MACROPHAGE","MONOCYTE",7,"CCL2,LGALS3,AZU1,CCL5,CCL3,CSF1,CCR2"
"247","MAST CELL","GENERAL",7,"BTK,S100A12,NF1,PIK3CG,SYK,SLC15A4,SERPINB9"
"248","MAST CELL","HUMORAL ADAPTIVE IMMUNE SYSTEM",7,"BTK,S100A12,KIT,RASGRP1,SYK,FCER1A,STAT5B"
"249","MONOCYTE","MACROPHAGE",7,"AZU1,CSF1,CCL3,LGALS3,CCL5,CCL2,CCR2"
"250","NEUTROPHIL","NK CELL",7,"IL15,PIK3CG,XCL1,MERTK,AXL,VAMP7,EMP2"
"251","NK CELL","NEUTROPHIL",7,"XCL1,PIK3CG,VAMP7,MERTK,AXL,IL15,EMP2"
"252","T CELL","DENDRITIC CELL",7,"CCR7,DOCK8,LAG3,PIK3CG,PSEN1,GPR183,HLA-DRB3"
"253","T CELL","INFLAMMATION",7,"CD6,RASGRP1,FOSL2,LIPA,IL20RB,PRDX2,IL10"
"254","T HELPER CELLS","ARPP",7,"GPR183,HMGB1,RELB,TLR4,CCR2,IL6R,PHB1"
"255","ADAPTIVE IMMUNE SYSTEM","COMPLEMENT",6,"CD46,C1QBP,CR2,C4B,MBL2,CR1"
"256","ANTIMICROBIAL","T CELL",6,"DEFA4,CXCL12,DEFA1,CCL20,B2M,SLC11A1"
"257","ANTIVIRAL & IFN","NK CELL",6,"XCL1,LGALS9,KIF5B,IL12B,IFNE,IFNA8"
"258","ARPP","NK CELL",6,"PIK3CG,FCGR3A,XCL1,LAG3,KLRC2,KLRK1"
"259","B CELL","MACROPHAGE",6,"TICAM1,PLCG2,SYK,TLR4,PRKCE,LBP"
"260","COMPLEMENT","ADAPTIVE IMMUNE SYSTEM",6,"C4B,CR1,CR2,C1QBP,CD46,MBL2"
"261","DENDRITIC CELL","NEUTROPHIL",6,"CCR2,CXCR2,CXCR1,HMGB1,PIK3CG,CCL5"
"262","IMMUNOGLOBULIN MEDIATED RESPONSE","MACROPHAGE",6,"TICAM1,PLCG2,SYK,TLR4,PRKCE,LBP"
"263","MACROPHAGE","B CELL",6,"TLR4,TICAM1,PRKCE,SYK,LBP,PLCG2"
"264","MACROPHAGE","IMMUNOGLOBULIN MEDIATED RESPONSE",6,"TLR4,TICAM1,PRKCE,SYK,LBP,PLCG2"
"265","NEUTROPHIL","DENDRITIC CELL",6,"CCL5,CXCR2,PIK3CG,CXCR1,HMGB1,CCR2"
"266","NK CELL","ANTIVIRAL & IFN",6,"XCL1,IL12B,IFNA8,IFNE,KIF5B,LGALS9"
"267","NK CELL","ARPP",6,"XCL1,KLRK1,FCGR3A,PIK3CG,LAG3,KLRC2"
"268","T CELL","ANTIMICROBIAL",6,"CXCL12,DEFA4,DEFA1,B2M,CCL20,SLC11A1"
"269","ANTIMICROBIAL","ANTIVIRAL & IFN",5,"CCL20,CCL1,XCL1,CCL8,CCL18"
"270","ANTIMICROBIAL","EOSINOPHIL",5,"LGALS3,CCL1,XCL1,CCL8,CCL18"
"271","ANTIVIRAL & IFN","ANTIMICROBIAL",5,"CCL8,CCL1,CCL18,XCL1,CCL20"
"272","ANTIVIRAL & IFN","MACROPHAGE",5,"CCL5,CCL3,CCL2,TLR4,RPL13A"
"273","ARPP","INFLAMMATION",5,"CXCR2,HMGB1,LIPA,NOTCH2,RBPJ"
"274","B CELL","DENDRITIC CELL",5,"GPR183,RBPJ,IRF8,SPI1,NOTCH2"
"275","B CELL","INFLAMMATION",5,"RASGRP1,IL10,RBPJ,FOSL2,NOTCH2"
"276","B CELL","MAST CELL",5,"RASGRP1,BTK,STAT5B,SYK,KIT"
"277","CELLULAR ADAPTIVE IMMUNE SYSTEM","COMPLEMENT",5,"C5AR1,CLU,CD46,CR2,CR1"
"278","CELLULAR ADAPTIVE IMMUNE SYSTEM","EOSINOPHIL",5,"CCL2,CX3CL1,CCL3,BTK,FCER1A"
"279","COMPLEMENT","CELLULAR ADAPTIVE IMMUNE SYSTEM",5,"CLU,CR1,CR2,CD46,C5AR1"
"280","DENDRITIC CELL","B CELL",5,"GPR183,SPI1,NOTCH2,RBPJ,IRF8"
"281","DENDRITIC CELL","IMMUNOGLOBULIN MEDIATED RESPONSE",5,"GPR183,SPI1,NOTCH2,RBPJ,IRF8"
"282","EOSINOPHIL","ANTIMICROBIAL",5,"CCL18,LGALS3,CCL1,CCL8,XCL1"
"283","EOSINOPHIL","CELLULAR ADAPTIVE IMMUNE SYSTEM",5,"CCL3,CCL2,CX3CL1,FCER1A,BTK"
"284","IMMUNOGLOBULIN MEDIATED RESPONSE","DENDRITIC CELL",5,"GPR183,RBPJ,IRF8,SPI1,NOTCH2"
"285","IMMUNOGLOBULIN MEDIATED RESPONSE","INFLAMMATION",5,"RASGRP1,IL10,RBPJ,FOSL2,NOTCH2"
"286","IMMUNOGLOBULIN MEDIATED RESPONSE","MAST CELL",5,"RASGRP1,BTK,STAT5B,SYK,KIT"
"287","INFLAMMATION","ARPP",5,"CXCR2,HMGB1,NOTCH2,RBPJ,LIPA"
"288","INFLAMMATION","B CELL",5,"IL10,FOSL2,NOTCH2,RBPJ,RASGRP1"
"289","INFLAMMATION","IMMUNOGLOBULIN MEDIATED RESPONSE",5,"IL10,FOSL2,NOTCH2,RBPJ,RASGRP1"
"290","MACROPHAGE","ANTIVIRAL & IFN",5,"TLR4,CCL2,RPL13A,CCL5,CCL3"
"291","MAST CELL","B CELL",5,"BTK,KIT,RASGRP1,SYK,STAT5B"
"292","MAST CELL","IMMUNOGLOBULIN MEDIATED RESPONSE",5,"BTK,KIT,RASGRP1,SYK,STAT5B"
"293","ANTIMICROBIAL","MACROPHAGE",4,"HAMP,LGALS3,SLC11A1,AZU1"
"294","ANTIVIRAL & IFN","T HELPER CELLS",4,"PHB1,TLR4,IL12B,JAK1"
"295","ARPP","MAST CELL",4,"PIK3CG,SYK,S100A12,BTK"
"296","COMPLEMENT","HUMORAL ADAPTIVE IMMUNE SYSTEM",4,"C4B,CR2,MBL2,NCR3LG1"
"297","DENDRITIC CELL","INFLAMMATION",4,"CXCR2,HMGB1,NOTCH2,RBPJ"
"298","DENDRITIC CELL","T HELPER CELLS",4,"CCR2,HMGB1,GPR183,RELB"
"299","EOSINOPHIL","MACROPHAGE",4,"CCL5,CCL3,LGALS3,CCL2"
"300","EOSINOPHIL","T CELL",4,"CCL3,CCL2,FCER1A,BTK"
"301","HUMORAL ADAPTIVE IMMUNE SYSTEM","COMPLEMENT",4,"NCR3LG1,CR2,C4B,MBL2"
"302","INFLAMMATION","DENDRITIC CELL",4,"CXCR2,HMGB1,NOTCH2,RBPJ"
"303","INFLAMMATION","NEUTROPHIL",4,"NLRP6,ELANE,CXCR2,HMGB1"
"304","MACROPHAGE","ANTIMICROBIAL",4,"HAMP,SLC11A1,LGALS3,AZU1"
"305","MACROPHAGE","EOSINOPHIL",4,"CCL2,LGALS3,CCL5,CCL3"
"306","MAST CELL","ARPP",4,"BTK,S100A12,PIK3CG,SYK"
"307","MAST CELL","NEUTROPHIL",4,"BTK,S100A12,PIK3CG,SYK"
"308","MONOCYTE","T CELL",4,"CCL3,CCL2,CCL20,JAML"
"309","NEUTROPHIL","INFLAMMATION",4,"CXCR2,HMGB1,ELANE,NLRP6"
"310","NEUTROPHIL","MAST CELL",4,"SYK,PIK3CG,S100A12,BTK"
"311","T CELL","EOSINOPHIL",4,"CCL2,CCL3,BTK,FCER1A"
"312","T CELL","MONOCYTE",4,"JAML,CCL2,CCL3,CCL20"
"313","T HELPER CELLS","ANTIVIRAL & IFN",4,"TLR4,IL12B,JAK1,PHB1"
"314","T HELPER CELLS","DENDRITIC CELL",4,"GPR183,HMGB1,RELB,CCR2"
"315","ANTIVIRAL & IFN","DENDRITIC CELL",3,"CCL5,IRF8,CDC42"
"316","B CELL","COMPLEMENT",3,"CR2,C4B,MBL2"
"317","COMPLEMENT","B CELL",3,"C4B,CR2,MBL2"
"318","COMPLEMENT","IMMUNOGLOBULIN MEDIATED RESPONSE",3,"C4B,CR2,MBL2"
"319","COMPLEMENT","T CELL",3,"CR1,CR2,CD46"
"320","DENDRITIC CELL","ANTIVIRAL & IFN",3,"CCL5,CDC42,IRF8"
"321","IMMUNOGLOBULIN MEDIATED RESPONSE","COMPLEMENT",3,"CR2,C4B,MBL2"
"322","MAST CELL","NK CELL",3,"PIK3CG,RASGRP1,STAT5B"
"323","NEUTROPHIL","T HELPER CELLS",3,"HMGB1,CCR2,IL6R"
"324","NK CELL","MAST CELL",3,"RASGRP1,PIK3CG,STAT5B"
"325","T CELL","COMPLEMENT",3,"CD46,CR2,CR1"
"326","T HELPER CELLS","NEUTROPHIL",3,"HMGB1,CCR2,IL6R"
"327","B CELL","EOSINOPHIL",2,"BTK,MPL"
"328","DENDRITIC CELL","MACROPHAGE",2,"CCR2,CCL5"
"329","DENDRITIC CELL","MONOCYTE",2,"CCR2,CCL5"
"330","DENDRITIC CELL","NK CELL",2,"PIK3CG,LAG3"
"331","EOSINOPHIL","B CELL",2,"BTK,MPL"
"332","EOSINOPHIL","IMMUNOGLOBULIN MEDIATED RESPONSE",2,"BTK,MPL"
"333","EOSINOPHIL","MAST CELL",2,"FCER1A,BTK"
"334","EOSINOPHIL","NK CELL",2,"XCL1,VAMP7"
"335","IMMUNOGLOBULIN MEDIATED RESPONSE","EOSINOPHIL",2,"BTK,MPL"
"336","INFLAMMATION","T HELPER CELLS",2,"NOTCH1,HMGB1"
"337","MACROPHAGE","DENDRITIC CELL",2,"CCL5,CCR2"
"338","MACROPHAGE","T HELPER CELLS",2,"TLR4,CCR2"
"339","MAST CELL","EOSINOPHIL",2,"BTK,FCER1A"
"340","MONOCYTE","DENDRITIC CELL",2,"CCL5,CCR2"
"341","MONOCYTE","T HELPER CELLS",2,"IL6R,CCR2"
"342","NK CELL","DENDRITIC CELL",2,"PIK3CG,LAG3"
"343","NK CELL","EOSINOPHIL",2,"XCL1,VAMP7"
"344","NK CELL","T HELPER CELLS",2,"IL12B,GATA3"
"345","T HELPER CELLS","INFLAMMATION",2,"HMGB1,NOTCH1"
"346","T HELPER CELLS","MACROPHAGE",2,"TLR4,CCR2"
"347","T HELPER CELLS","MONOCYTE",2,"CCR2,IL6R"
"348","T HELPER CELLS","NK CELL",2,"IL12B,GATA3"
"349","ANTIMICROBIAL","B CELL",1,"BCL3"
"350","ANTIMICROBIAL","IMMUNOGLOBULIN MEDIATED RESPONSE",1,"BCL3"
"351","ANTIMICROBIAL","MAST CELL",1,"S100A12"
"352","ANTIMICROBIAL","NK CELL",1,"XCL1"
"353","ANTIMICROBIAL","T HELPER CELLS",1,"BCL3"
"354","ANTIVIRAL & IFN","COMPLEMENT",1,"MBL2"
"355","ANTIVIRAL & IFN","INFLAMMATION",1,"NLRP6"
"356","ARPP","COMPLEMENT",1,"MBL2"
"357","B CELL","ANTIMICROBIAL",1,"BCL3"
"358","B CELL","MONOCYTE",1,"MPL"
"359","COMPLEMENT","ANTIVIRAL & IFN",1,"MBL2"
"360","COMPLEMENT","ARPP",1,"MBL2"
"361","COMPLEMENT","NEUTROPHIL",1,"C5AR1"
"362","DENDRITIC CELL","EOSINOPHIL",1,"CCL5"
"363","DENDRITIC CELL","MAST CELL",1,"PIK3CG"
"364","EOSINOPHIL","DENDRITIC CELL",1,"CCL5"
"365","IMMUNOGLOBULIN MEDIATED RESPONSE","ANTIMICROBIAL",1,"BCL3"
"366","IMMUNOGLOBULIN MEDIATED RESPONSE","MONOCYTE",1,"MPL"
"367","INFLAMMATION","ANTIVIRAL & IFN",1,"NLRP6"
"368","INFLAMMATION","MACROPHAGE",1,"LIPA"
"369","INFLAMMATION","MAST CELL",1,"RASGRP1"
"370","INFLAMMATION","NK CELL",1,"RASGRP1"
"371","MACROPHAGE","INFLAMMATION",1,"LIPA"
"372","MACROPHAGE","MAST CELL",1,"SYK"
"373","MACROPHAGE","NK CELL",1,"FCGR3A"
"374","MAST CELL","ANTIMICROBIAL",1,"S100A12"
"375","MAST CELL","DENDRITIC CELL",1,"PIK3CG"
"376","MAST CELL","INFLAMMATION",1,"RASGRP1"
"377","MAST CELL","MACROPHAGE",1,"SYK"
"378","MAST CELL","MONOCYTE",1,"S100A12"
"379","MONOCYTE","B CELL",1,"MPL"
"380","MONOCYTE","IMMUNOGLOBULIN MEDIATED RESPONSE",1,"MPL"
"381","MONOCYTE","MAST CELL",1,"S100A12"
"382","MONOCYTE","NK CELL",1,"XCL1"
"383","NEUTROPHIL","COMPLEMENT",1,"C5AR1"
"384","NK CELL","ANTIMICROBIAL",1,"XCL1"
"385","NK CELL","INFLAMMATION",1,"RASGRP1"
"386","NK CELL","MACROPHAGE",1,"FCGR3A"
"387","NK CELL","MONOCYTE",1,"XCL1"
"388","T HELPER CELLS","ANTIMICROBIAL",1,"BCL3"
